0,0000000000000000,0000000000000000,1
1,0000000000000001,0000000000000001,1
2,0000000000000002,0000000000000002,1
3,0000000000000003,0000000000000003,1
4,0000000000000004,0000000000000004,1
5,0000000000000005,0000000000000005,1
6,0000000000000006,0000000000000006,1
7,0000000000000007,0000000000000007,1
8,0000000000000008,0000000000000008,1
9,0000000000000009,0000000000000009,1
10,000000000000000a,000000000000000a,1
11,000000000000000b,000000000000000b,1
12,000000000000000c,000000000000000c,1
13,000000000000000d,000000000000000d,1
14,000000000000000e,000000000000000e,1
15,000000000000000f,000000000000000f,1
16,0000000000000010,0000000000000010,1
17,0000000000000011,0000000000000011,1
18,0000000000000012,0000000000000012,1
19,0000000000000013,0000000000000013,1
20,0000000000000014,0000000000000014,1
21,0000000000000015,0000000000000015,1
22,0000000000000016,0000000000000016,1
23,0000000000000017,0000000000000017,1
24,0000000000000018,0000000000000018,1
25,0000000000000019,0000000000000019,1
26,000000000000001a,000000000000001a,1
27,000000000000001b,000000000000001b,1
28,000000000000001c,000000000000001c,1
29,000000000000001d,000000000000001d,1
30,000000000000001e,000000000000001e,1
31,000000000000001f,000000000000001f,1
32,0000000000000020,0000000000000020,1
33,0000000000000021,0000000000000021,1
34,0000000000000022,0000000000000022,1
35,0000000000000023,0000000000000023,1
36,0000000000000024,0000000000000024,1
37,0000000000000025,0000000000000025,1
38,0000000000000026,0000000000000026,1
39,0000000000000027,0000000000000027,1
40,0000000000000028,0000000000000028,1
41,0000000000000029,0000000000000029,1
42,000000000000002a,000000000000002a,1
43,000000000000002b,000000000000002b,1
44,000000000000002c,000000000000002c,1
45,000000000000002d,000000000000002d,1
46,000000000000002e,000000000000002e,1
47,000000000000002f,000000000000002f,1
48,0000000000000030,0000000000000030,1
49,0000000000000031,0000000000000031,1
50,0000000000000032,0000000000000032,1
51,0000000000000033,0000000000000033,1
52,0000000000000034,0000000000000034,1
53,0000000000000035,0000000000000035,1
54,0000000000000036,0000000000000036,1
55,0000000000000037,0000000000000037,1
56,0000000000000038,0000000000000038,1
57,0000000000000039,0000000000000039,1
58,000000000000003a,000000000000003a,1
59,000000000000003b,000000000000003b,1
60,000000000000003c,000000000000003c,1
61,000000000000003d,000000000000003d,1
62,000000000000003e,000000000000003e,1
63,000000000000003f,000000000000003f,1
64,0000000000000040,0000000000000040,1
65,0000000000000041,0000000000000041,1
66,0000000000000042,0000000000000042,1
67,0000000000000043,0000000000000043,1
68,0000000000000044,0000000000000044,1
69,0000000000000045,0000000000000045,1
70,0000000000000046,0000000000000046,1
71,0000000000000047,0000000000000047,1
72,0000000000000048,0000000000000048,1
73,0000000000000049,0000000000000049,1
74,000000000000004a,000000000000004a,1
75,000000000000004b,000000000000004b,1
76,000000000000004c,000000000000004c,1
77,000000000000004d,000000000000004d,1
78,000000000000004e,000000000000004e,1
79,000000000000004f,000000000000004f,1
80,0000000000000050,0000000000000050,1
81,0000000000000051,0000000000000051,1
82,0000000000000052,0000000000000052,1
83,0000000000000053,0000000000000053,1
84,0000000000000054,0000000000000054,1
85,0000000000000055,0000000000000055,1
86,0000000000000056,0000000000000056,1
87,0000000000000057,0000000000000057,1
88,0000000000000058,0000000000000058,1
89,0000000000000059,0000000000000059,1
90,000000000000005a,000000000000005a,1
91,000000000000005b,000000000000005b,1
92,000000000000005c,000000000000005c,1
93,000000000000005d,000000000000005d,1
94,000000000000005e,000000000000005e,1
95,000000000000005f,000000000000005f,1
96,0000000000000060,0000000000000060,1
97,0000000000000061,0000000000000061,1
98,0000000000000062,0000000000000062,1
99,0000000000000063,0000000000000063,1
100,0000000000000064,0000000000000064,1
101,0000000000000065,0000000000000065,1
102,0000000000000066,0000000000000066,1
103,0000000000000067,0000000000000067,1
104,0000000000000068,0000000000000068,1
105,0000000000000069,0000000000000069,1
106,000000000000006a,000000000000006a,1
107,000000000000006b,000000000000006b,1
108,000000000000006c,000000000000006c,1
109,000000000000006d,000000000000006d,1
110,000000000000006e,000000000000006e,1
111,000000000000006f,000000000000006f,1
112,0000000000000070,0000000000000070,1
113,0000000000000071,0000000000000071,1
114,0000000000000072,0000000000000072,1
115,0000000000000073,0000000000000073,1
116,0000000000000074,0000000000000074,1
117,0000000000000075,0000000000000075,1
118,0000000000000076,0000000000000076,1
119,0000000000000077,0000000000000077,1
120,0000000000000078,0000000000000078,1
121,0000000000000079,0000000000000079,1
122,000000000000007a,000000000000007a,1
123,000000000000007b,000000000000007b,1
124,000000000000007c,000000000000007c,1
125,000000000000007d,000000000000007d,1
126,000000000000007e,000000000000007e,1
127,000000000000007f,000000000000007f,1
128,0000000000000080,0000000000000080,1
129,0000000000000081,0000000000000081,1
130,0000000000000082,0000000000000082,1
131,0000000000000083,0000000000000083,1
132,0000000000000084,0000000000000084,1
133,0000000000000085,0000000000000085,1
134,0000000000000086,0000000000000086,1
135,0000000000000087,0000000000000087,1
136,0000000000000088,0000000000000088,1
137,0000000000000089,0000000000000089,1
138,000000000000008a,000000000000008a,1
139,000000000000008b,000000000000008b,1
140,000000000000008c,000000000000008c,1
141,000000000000008d,000000000000008d,1
142,000000000000008e,000000000000008e,1
143,000000000000008f,000000000000008f,1
144,0000000000000090,0000000000000090,1
145,0000000000000091,0000000000000091,1
146,0000000000000092,0000000000000092,1
147,0000000000000093,0000000000000093,1
148,0000000000000094,0000000000000094,1
149,0000000000000095,0000000000000095,1
150,0000000000000096,0000000000000096,1
151,0000000000000097,0000000000000097,1
152,0000000000000098,0000000000000098,1
153,0000000000000099,0000000000000099,1
154,000000000000009a,000000000000009a,1
155,000000000000009b,000000000000009b,1
156,000000000000009c,000000000000009c,1
157,000000000000009d,000000000000009d,1
158,000000000000009e,000000000000009e,1
159,000000000000009f,000000000000009f,1
160,00000000000000a0,00000000000000a0,1
161,00000000000000a1,00000000000000a1,1
162,00000000000000a2,00000000000000a2,1
163,00000000000000a3,00000000000000a3,1
164,00000000000000a4,00000000000000a4,1
165,00000000000000a5,00000000000000a5,1
166,00000000000000a6,00000000000000a6,1
167,00000000000000a7,00000000000000a7,1
168,00000000000000a8,00000000000000a8,1
169,00000000000000a9,00000000000000a9,1
170,00000000000000aa,00000000000000aa,1
171,00000000000000ab,00000000000000ab,1
